,eta,epochs,w1_start,w2_start,w1_end,w2_end,loss_start,loss_end
0,0.0001,100,-2.2266492049341258,-9.767016425870025,-1.99037732969073,-8.891392093102107,517.6869114521804,406.5122491707724
0,0.0001,100,6.699834963999638,-2.9134626763463234,6.289010899167551,-2.600644579221665,201.2348849788932,164.04400499245915
0,0.001,100,-8.755762202039444,1.3158315343733062,-3.2505173841138713,1.1657447242446868,390.43718340884357,76.4376684035172
0,0.001,100,-7.336443804924202,-2.966105933097436,-3.2168029429937364,-0.6556678980263284,339.19149338797547,73.77108608625173
0,0.01,100,5.62988201241454,7.384882139919499,1.0030463790732227,1.0003387550208962,250.74288992304642,3.76403080673139e-05
0,0.01,100,-9.70060659149147,-5.215177254266196,0.9928485278719591,0.9996447920451419,578.7161505964417,0.00021142620468875717
0,0.01,100,5.321887946843078,-4.10711371515781,1.0005705860242906,0.998972596650406,165.93982626272702,6.774943530447403e-06
0,0.05,100,5.98000100295155,0.29389774047759554,1.0,1.0,113.63664563890877,0.0
0,0.05,100,-3.3772706484244597,0.7707484260480091,1.0,1.0,71.04026151766735,0.0
0,0.05,100,9.96416607354869,1.9650013931597488,1.0000000000000002,1.0,335.88140274900144,2.7073952786218007e-31
0,0.075,100,8.796324701178843,-1.534212898546481,1.0,1.0,300.5180702546625,0.0
0,0.075,100,6.03103318993994,-5.541391910546221,1.0,1.0,257.46563389798104,0.0
0,0.1,100,-7.857004641965826,0.3227779510710471,1.0,1.0,309.3341046071444,0.0
0,0.1,100,9.594341503116922,3.2806985644008724,1.0,1.0,323.52389603891976,0.0
0,0.1,100,-6.531829540157079,7.460631501770627,1.0,1.0,443.06462127666293,0.0
0,0.1,100,-7.297951881486211,-3.455821272315751,1.0,1.0,339.4124499243535,0.0
0,0.125,100,-6.41728681245281,-3.0546255685824786,1.0,1.0,333.5900570444004,0.0
0,0.125,100,1.3792933966570664,-8.078838440005875,1.0,1.0,301.7387741616795,0.0
0,0.125,100,4.189799123360817,2.991190423186443,1.0,1.0,62.554478349221974,0.0
0,0.15,100,3.122994610703269,-2.029904841903043,1.0,1.0,51.22853715353166,0.0
0,0.15,100,9.242068663131334,-5.880531480961695,1.0,1.0,463.5856210445629,0.0
0,0.15,100,1.6092486099092418,-7.486459295603427,1.0,1.0,309.6729569935134,0.0
0,0.2,100,6.486017369963141,3.7580396253796677,0.9999999999998495,1.0000000000018436,155.69688143141306,2.9844204288898633e-23
0,0.2,100,-0.8224337969015272,9.503173628501742,0.9999999945792114,1.0000000178532455,324.90630092222267,2.362903613602992e-15
0,0.2,100,-2.976276271746403,5.364891181858697,0.9999990741650678,0.9999992833759933,152.76023753178484,6.202302328975594e-12
0,0.3,100,-3.595582954529568,-4.039068247258886,-4.141642091222753e+22,2.8850133534511213e+21,154.87921845374663,2.788548503198831e+45
0,0.3,100,-0.15906340188428292,9.763596647822823,-3.3716924242352576e+22,8.77000667445261e+22,349.8299265553773,1.2887778068841625e+46
0,0.3,100,2.7349590450276917,4.4311482244788465,1.5669155825283485e+20,4.608836246037895e+19,62.52954088991892,4.434561345849271e+40
0,0.4,100,9.007599647785485,-8.128395325507906,1.4241401464637006e+46,1.5719170023548975e+45,714.9226367830966,1.2152527773380913e+92
0,0.4,100,2.622628116816963,-8.630662571353021,-3.910795879612999e+47,-2.0488819283824973e+48,468.0258360717036,2.3565795176615167e+96
0,0.4,100,-0.8090035050215016,5.735321868255145,-3.4699445926838503e+41,1.3688258809132622e+42,124.5076635859955,1.2626281144704296e+84
0,0.5,100,9.354627565845755,-5.706552318063219,8.006025878121639e+52,-3.5732939426596844e+53,424.46288389102614,4.9655483102992785e+106
0,0.5,100,-9.447845232190355,8.295021019000215,-1.621076663334522e+49,5.717197051277291e+49,586.5999251834907,1.4226068120894332e+99
0,0.75,100,6.599957523230808,-2.695559222622741,5.984697451056967e+73,-3.381332826903048e+73,204.09611700528214,6.029386810346867e+146
0,0.75,100,4.563289745070669,2.0280345102628727,1.3127188821545704e+79,9.578512398061615e+79,61.76999659813727,1.1073345335360738e+159
0,0.75,100,5.280923197361139,-7.4374783872619314,-2.570244315698144e+80,-3.634053513338281e+81,392.6107048157722,1.6514374174816369e+162
0,1,100,1.9692692491778674,-4.496880818159557,4.321845060990089e+92,1.6112916554363313e+91,125.50877513874225,1.2482068728014508e+184
0,1,100,-0.9146329808434062,-8.081802900186794,-5.781528243736792e+84,-1.097784530995735e+84,315.1275752260288,2.7744285150982423e+168
0,1,100,-3.968131936135688,5.3613811298823855,8.1276426989196e+93,1.9450148547891137e+94,192.98410213005604,2.6830935431562226e+187
